user_id,address,vol,last_ts
65818,0x39ff4A5126a79FC46EA39c054694b0384540d2f6,103541.66050799991,1772261597377
62576,0x6f4bEFAca825F46A261AecD5890556EC14f3262D,101551.65219000014,1772293895029
63276,0x92160342BCaD41235729F88d332c8801b6Fd9CCB,101038.77363000008,1772547273303
62923,0x5e93fEDe410790c91B4373701aad6Feca89fDD10,68930.55357,1772705034485
61823,0x26833261Cad6b39E3954fA1ff5030fa9758ef8bB,53044.444943000046,1772701308582
<<<<<<< Updated upstream
61101,0x3405B695C93bBFeA3d7cD323c5CF220FC194F1bf,44056.23041100002,1772722248039
=======
61101,0x3405B695C93bBFeA3d7cD323c5CF220FC194F1bf,46394.947441000026,1772731785479
>>>>>>> Stashed changes
64772,0x4a6F80B130de737bF120bC7Cea578b202C1f73B3,30307.16568999999,1772212221255
66309,0x64C8E0147e3087611343BFee9865a4562324b534,26397.579548,1772624649113
69642,0x47051871A03b9751902ABc2471bB2CFde7A8caBd,24083.289559999972,1772375332293
63854,0x478e6a4Cb4E0516a3040E5e1F49984546D1784e2,23886.188650000015,1772184062240
64685,0x517Fe82378A65e1f875087719Eb7Edd210CA2638,23712.715599999985,1772212112522
61964,0x52714fBfdA9A18f4a89699156E8B1a79b587e85f,23615.920449000005,1772097709098
64649,0xa4876b801bD964E6933e1Ca8150Dc747D2F1eA80,22971.573630000024,1772208263857
64406,0x5cD45aA048b88a0069Aca07133EecbD723280357,22241.616479999993,1772203201490
64005,0x8d49c58E654dbebB7B0c81E426274c4D456f9faf,21917.405428,1772184148138
61931,0xbb8BD8a3C33F5D4be9C07792C85E4b8B764e9eEA,21798.234230000002,1772095440277
64029,0x36141d700F9Bd1C487dd7EEa8aE945E8fa212a23,21784.18438999999,1772185773267
64207,0x8Ca58A303b9D55a34D2c1818E54C7e26B9f73037,21672.635230000004,1772207105305
64535,0x169CceD2883FE4aE2365f6910426911AB64f5E3e,21402.672880000016,1772206379833
64094,0x54f15BBA61AbD26Bb0f9a1492EbEa95fA3d2568c,21301.83665000001,1772191209940
61831,0x6E3a88FA0D13f8DA93D80eDf50F524b5fBf0b48b,21297.664390000005,1772090396858
67895,0x375dB7d2AE6A808E48D205eAcDd082F373fFF5f7,21073.36371000002,1772353431976
61858,0xa8006E364b7b507f6b53b63dc8A664E8B0c0CA60,20878.101370000004,1772091682592
63869,0xE565CA38E76b72270159c5C515F2D7Cec9223949,20443.077780000007,1772178689787
65281,0x43eF5071bE3b178f92D856EE0c724E0974Ddc361,20442.217765999907,1772242428210
61030,0x409c24e7c46416Bfade2B114bfCbCb091AF98907,20410.41503,1772043845500
66240,0x9b0b33cC211319f908b13A0AaAeef5B789dbb18c,20351.974810000032,1772293752755
63818,0x225a3724d6fd6c875DBeB546878209d9e75e26E9,20320.59213,1772176790875
61008,0x2791017D67c1e15495bfe3Bb932865bC5Ee39e34,20316.124400000008,1772042292643
66243,0xeBDA0d6BD96b16Cf686d83911FdFA72b27E517ca,20273.201239999988,1772281778726
62499,0x0Fb8eC36F52FE761e607e5C73CC4084195Ac1cF8,20243.603646000014,1772731532858
61139,0xf110c90E905B9618fFeDFC37905EEBd6d0CBECEb,20234.705470000048,1772704805414
62553,0xDf06D08A183cCd30E5Cb9acE811af6d3D2Eff876,20217.152501000022,1772307751002
64155,0x6e1598Af5F0F9b7ddCc0F5C3962c36109860D333,20042.45998000001,1772195391955
64059,0x2F7F756b9419286376c4C1AdEA718B848c213eEb,17562.28007999999,1772187977744
62241,0x3De737330863D02ebb4076Efed02371D5Ae30b86,16696.31008,1772656224528
61087,0x37702879952802d1835a0de8A434E1F3F6cbB5AB,10252.546379999989,1772222518469
69907,0x95F24d33009fcFC2caf6aF8704De992cEff51cBc,8757.519271999996,1772664988862
62148,0x54aAD0FEE50662D709Ca1D74158493768A82589E,7605.810154,1772162955789
62251,0x410fBd5cc9EdC5dF39C1a3f6A48f1a77b5419398,6881.604460460004,1772720409580
68804,0x1b0CB07BA16a0641dc10a3870208c88ab3424b9A,6390.745420999997,1772365496346
64955,0xCfeC6b90AE37C11fe49CEFad3D63C09f6d21A301,6313.611520000002,1772215527770
70111,0x79c4574F6D889318452ABA790078e28C0CCf75a2,5817.0047079999995,1772403382043
63719,0x1FC717cFBF90a580e7648850bEb2F48Dc51c00E5,5354.171240000004,1772347754573
67907,0x88b1237eC87aC39064510b387a329128e39BBB42,5108.833852050001,1772459982609
70811,0x2d31aAdb261f749c6FE7150BFb1aFc32a07E8c3B,5048.169440000003,1772606345410
69249,0xC7b8c7511D1c8c2b829D1ae1A806a580D13df072,2902.769445,1772447899936
61799,0xb6C74Ac8E9834777DEF043831ffD83EfD5583972,2706.597763999999,1772118153563
61393,0xC0E93d626138eAF5E33C4D9426ddc85CE3Ba6E6f,2087.8687649999997,1772071718482
64218,0x3c3Bfdb790a4Fe007220E6Fc59b53f6a4e900594,2038.5444299999997,1772199510982
64214,0x61Cb85e310184E2A0b61785C746e70a90aD7101a,2031.9258799999998,1772199465090
64297,0xCCa23156985521eC4e410adA3FA97261425837be,1989.541372,1772406058984
<<<<<<< Updated upstream
62508,0x70e94Da937Bf1862c738F7b5c3B8F7870AcE8031,1731.3026200000006,1772720469460
=======
62508,0x70e94Da937Bf1862c738F7b5c3B8F7870AcE8031,1861.7206700000004,1772736728325
>>>>>>> Stashed changes
68546,0xE521463f91208e58a388FD4A82bEe25d051BA402,1587.4279999999997,1772357629855
69263,0xe9890F1fE90fdFE05e5dE46386612AE626E10e9A,1403.702629,1772631659520
65883,0xF7bA273Ac51c6C61ff95756FD319800bf1fB8b24,1190.2183160000002,1772299972370
66148,0x0D47d927b3e03F99d3Eca6C09129622e3a29C1e8,1120.270061,1772673460208
62922,0x2145676468c8D6bd0124a24235ed47DE18df020d,1090.0140629999996,1772722000654
61162,0x103E618f933d60f7518E06f4fce5F049557C9358,1059.880401,1772062265124
64951,0x4D18f3e435ADFF8018c5C8500dDd4a2dBaa9a8dD,912.947659,1772237631240
